,e0 (m),rf (m),tmin (s),tminerrmin (s),tminerrmax (s),hmin (m)
0,1.0671205916785395e-05,9.999999999999999e-05,3000,2000,2000,1.172659990855538e-06
1,1.1374801911298717e-05,9.999999999999999e-05,2500,500,500,1.676903786923419e-06
2,1.1726599908555379e-05,9.999999999999999e-05,2000,1000,1000,1.9935219844544143e-06
3,1.4306451888437561e-05,9.999999999999999e-05,460,180,180,4.104309967994383e-06
4,1.6182707873806425e-05,9.999999999999999e-05,160,50,50,6.566895948791012e-06
5,1.829349585734639e-05,9.999999999999999e-05,65,5,5,8.354029774854852e-06
6,1.8762559853688607e-05,9.999999999999999e-05,30,15,15,9.381279926844303e-06
7,1.5244579881121992e-05,0.00025,3000,1000,1000,5.86329995427769e-07
8,1.6182707873806425e-05,0.00025,1500,500,500,5.628767956106582e-07
9,1.6182707873806425e-05,0.00025,1666,994,994,6.449629949705459e-07
10,1.829349585734639e-05,0.00025,1250,250,250,8.325885935074319e-07
11,2.1107879835399682e-05,0.00025,1300,500,500,1.1234082712396052e-06
12,2.1107879835399682e-05,0.00025,450,150,150,1.7003569867405299e-06
13,1.829349585734639e-05,0.0005,750,500,500,5.27696995884992e-07
14,1.829349585734639e-05,0.0005,200,100,100,6.097831952448798e-07
