,t (s),w (m)
0,40.0,0.0013411214953271
1,50.0,0.0014158878504672
2,60.0,0.0015046728971962
3,70.0,0.0015514018691588
4,80.0,0.0015934579439252
5,90.0,0.0016214953271028
6,100.0,0.0016495327102803
7,110.0,0.0016822429906542
8,120.0,0.0017056074766355
9,130.0,0.001733644859813
10,140.0,0.0017570093457943
11,150.0,0.0017803738317757
12,160.0,0.0018084112149532
13,170.0,0.0018411214953271
14,180.0,0.0018691588785046
15,190.0,0.0018971962616822
16,200.0,0.0019252336448598
17,210.0,0.0019532710280373
18,220.0,0.0019766355140186
19,230.0,0.002
20,240.0,0.0020280373831775
21,250.0,0.0020514018691588
22,260.0,0.0020747663551401
23,270.0,0.0020887850467289
24,280.0,0.002107476635514
25,290.0,0.0021308411214953
26,300.0,0.0021448598130841
27,310.0,0.0021682242990654
28,320.0,0.0021915887850467
29,330.0,0.0022056074766355
30,340.0,0.0022289719626168
31,350.0,0.0022476635514018
32,360.0,0.0022663551401869
33,370.0,0.0022803738317757
34,380.0,0.0022990654205607
35,390.0,0.0023130841121495
36,400.0,0.0023317757009345
37,410.0,0.0023411214953271
38,420.0,0.0023598130841121
39,430.0,0.0023738317757009
40,440.0,0.0023878504672897
41,450.0,0.0024065420560747
42,460.0,0.0024205607476635
43,470.0,0.0024345794392523
44,480.0,0.0024485981308411
45,490.0,0.0024672897196261
46,500.0,0.0024906542056074
47,510.0,0.0025093457943925
48,520.0,0.0025280373831775
49,530.0,0.0025467289719626
50,540.0,0.0025700934579439
51,550.0,0.0025887850467289
52,560.0,0.002607476635514
53,570.0,0.0026121495327102
